Kandidátní listina.číslo;Kandidátní listina.název;Kandidát.poř. číslo;Kandidát.příjmení, jméno, tituly;Kandidát.věk;Navrhující strana;Politická příslušnost;Povolání;Bydliště
1;Pečky srdcem​;1;Dürr Petr Ing.​;52;NK​;BEZPP​;bezpečnostní manažer a dobrovolný hasič​;Pečky​
1;Pečky srdcem​;2;Říha Dušan​;56;NK​;BEZPP​;živnostník a dobrovolný hasič​;Velké Chvalovice​
1;Pečky srdcem​;3;Kejda Ladislav​;76;NK​;BEZPP​;důchodce a včelař​;Pečky​
1;Pečky srdcem​;4;Krúpová Lenka Mgr. Bc.​;62;NK​;BEZPP​;středoškolský pedagog​;Pečky​
1;Pečky srdcem​;5;Mecera Tomáš​;44;NK​;BEZPP​;zaměstnanec Správy železnic​;Pečky​
1;Pečky srdcem​;6;Urban Jiří​;39;NK​;BEZPP​;policista​;Pečky​
1;Pečky srdcem​;7;Volková Renata​;59;NK​;BEZPP​;výpravčí​;Pečky​
1;Pečky srdcem​;8;Werkmannová Andrea​;44;NK​;BEZPP​;vedoucí pokladen​;Velké Chvalovice​
1;Pečky srdcem​;9;Peštová Zuzana​;34;NK​;BEZPP​;obsluha čerpací stanice​;Velké Chvalovice​
1;Pečky srdcem​;10;Humpoláková Martina​;40;NK​;BEZPP​;operátorka​;Velké Chvalovice​
1;Pečky srdcem​;11;Humpolák Tomáš​;47;NK​;BEZPP​;řidič​;Velké Chvalovice​
1;Pečky srdcem​;12;Werkmann David​;48;NK​;BEZPP​;expedient​;Velké Chvalovice​
1;Pečky srdcem​;13;Urbanová Andrea​;38;NK​;BEZPP​;operátorka skladu​;Pečky​
1;Pečky srdcem​;14;Pejřilová Zuzana​;19;NK​;BEZPP​;studentka​;Velké Chvalovice​
1;Pečky srdcem​;15;Gubenko Vladislav​;32;NK​;BEZPP​;živnostník​;Velké Chvalovice​
1;Pečky srdcem​;16;Werkmannová Kateřina​;22;NK​;BEZPP​;expedientka​;Velké Chvalovice​
